row_id,order_id,order_date,year,month,day_of_week,ship_date,ship_mode,customer_id,customer_name,segment,customer_address_key,country,city,state,postal_code,region,product_id,category,subcategory,product_name,price,sales,quantity,discount,profit
1,CA-2016-152156,2016-11-08,2016,11,Tuesday,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,CG-12520-42420-Henderson-Kentucky,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,130.98,261.96,2,0.0,41.9136
2,CA-2016-152156,2016-11-08,2016,11,Tuesday,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,CG-12520-42420-Henderson-Kentucky,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",243.98,731.94,3,0.0,219.582
3,CA-2016-138688,2016-06-12,2016,6,Sunday,2016-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,DV-13045-90036-Los Angeles-California,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,7.31,14.62,2,0.0,6.8714
4,US-2015-108966,2015-10-11,2015,10,Sunday,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,SO-20335-33311-Fort Lauderdale-Florida,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,348.21,957.5775,5,0.45,-383.031
5,US-2015-108966,2015-10-11,2015,10,Sunday,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,SO-20335-33311-Fort Lauderdale-Florida,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,13.98,22.368,2,0.2,2.5164
6,CA-2014-115812,2014-06-09,2014,6,Monday,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,BH-11710-90032-Los Angeles-California,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",6.98,48.86,7,0.0,14.1694
7,CA-2014-115812,2014-06-09,2014,6,Monday,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,BH-11710-90032-Los Angeles-California,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,1.82,7.28,4,0.0,1.9656
8,CA-2014-115812,2014-06-09,2014,6,Monday,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,BH-11710-90032-Los Angeles-California,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,188.99,907.152,6,0.2,90.7152
9,CA-2014-115812,2014-06-09,2014,6,Monday,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,BH-11710-90032-Los Angeles-California,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,7.71,18.504,3,0.2,5.7825
10,CA-2014-115812,2014-06-09,2014,6,Monday,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,BH-11710-90032-Los Angeles-California,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,22.98,114.9,5,0.0,34.47
